Department Code,Course Code,Course Name,Instructor,Section,Capacity,Registered Students
356,EEE 212,SEMICONDUCTOR DEVICES AND MODELING,TAYFUN NESIMOGLU,S1,50,41
356,EEE 224,ELECTROMAGNETIC THEORY,CUMALI SABAH,S1,49,48
356,EEE 248,LOGIC DESIGN,Asst. Eee01,Lab1,21,21
356,EEE 248,LOGIC DESIGN,Asst. Eee03,Lab2,20,20
356,EEE 248,LOGIC DESIGN,BILAL AHMAD,S1,44,41
356,EEE 281,ELECTRICAL CIRCUITS,Asst. Eee01,Lab1,30,30
356,EEE 281,ELECTRICAL CIRCUITS,Asst. Eee01,Lab2,30,30
356,EEE 281,ELECTRICAL CIRCUITS,Asst. Eee01,Lab3,30,30
356,EEE 281,ELECTRICAL CIRCUITS,HUSSAM ALRAIE,S1,49,48
356,EEE 281,ELECTRICAL CIRCUITS,HUSSAM ALRAIE,S2,45,42
356,EEE 300,SUMMER PRACTICE I,CANRAS BATUNLU,S1,45,44
356,EEE 301,SIGNALS AND SYSTEMS I,CEM DIREKOGLU,S1,42,41
356,EEE 303,ELECTROMAGNETIC WAVES,OMID KHAKPOUR,S1,48,47
356,EEE 311,ELECTRONICS I,Asst. Eee01,Lab1,20,20
356,EEE 311,ELECTRONICS I,Asst. Eee01,Lab2,20,20
356,EEE 311,ELECTRONICS I,TAYFUN NESIMOGLU,S1,48,40
356,EEE 330,PROBABILITY AND RANDOM VARIABLES,BILAL AHMAD,S1,41,31
356,EEE 347,INTRODUCTION TO MICROPROCESSORS,Asst. Eee03,Lab1,25,25
356,EEE 347,INTRODUCTION TO MICROPROCESSORS,Asst. Eee03,Lab2,25,25
356,EEE 347,INTRODUCTION TO MICROPROCESSORS,MUHAMMAD SOHAIL,S1,52,50
356,EEE 361,ELECTROMECHANICAL ENERGY CONVERSION,Asst. Eee04,Lab1,22,22
356,EEE 361,ELECTROMECHANICAL ENERGY CONVERSION,Asst. Eee04,Lab2,20,20
356,EEE 361,ELECTROMECHANICAL ENERGY CONVERSION,MURAT FAHRIOGLU,S1,48,42
356,EEE 381,SYSTEMS AND CONTROL,BILAL AHMAD,S1,50,46
356,EEE 400,SUMMER PRACTICE II,HUSSAM ALRAIE,S1,50,41
